0 ERROR [main] ants.GebiBot  - Test
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
71 DEBUG [main] ants.GebiBot  - kante nach rechts
71 DEBUG [main] ants.GebiBot  - kante nach unten
71 DEBUG [main] ants.GebiBot  - kante nach rechts
71 DEBUG [main] ants.GebiBot  - kante nach unten
71 DEBUG [main] ants.GebiBot  - kante nach rechts
71 DEBUG [main] ants.GebiBot  - kante nach unten
72 DEBUG [main] ants.GebiBot  - kante nach rechts
72 DEBUG [main] ants.GebiBot  - kante nach unten
72 DEBUG [main] ants.GebiBot  - kante nach rechts
72 DEBUG [main] ants.GebiBot  - kante nach unten
72 DEBUG [main] ants.GebiBot  - kante nach rechts
73 DEBUG [main] ants.GebiBot  - kante nach unten
73 DEBUG [main] ants.GebiBot  - kante nach rechts
73 DEBUG [main] ants.GebiBot  - kante nach unten
74 DEBUG [main] ants.GebiBot  - kante nach rechts
74 DEBUG [main] ants.GebiBot  - kante nach unten
74 DEBUG [main] ants.GebiBot  - kante nach rechts
74 DEBUG [main] ants.GebiBot  - kante nach unten
74 DEBUG [main] ants.GebiBot  - kante nach rechts
75 DEBUG [main] ants.GebiBot  - kante nach unten
75 DEBUG [main] ants.GebiBot  - kante nach rechts
75 DEBUG [main] ants.GebiBot  - kante nach unten
75 DEBUG [main] ants.GebiBot  - kante nach rechts
76 DEBUG [main] ants.GebiBot  - kante nach unten
76 DEBUG [main] ants.GebiBot  - kante nach rechts
76 DEBUG [main] ants.GebiBot  - kante nach unten
76 DEBUG [main] ants.GebiBot  - kante nach rechts
77 DEBUG [main] ants.GebiBot  - kante nach unten
77 DEBUG [main] ants.GebiBot  - kante nach rechts
77 DEBUG [main] ants.GebiBot  - kante nach unten
77 DEBUG [main] ants.GebiBot  - kante nach rechts
78 DEBUG [main] ants.GebiBot  - kante nach unten
78 DEBUG [main] ants.GebiBot  - kante nach rechts
78 DEBUG [main] ants.GebiBot  - kante nach unten
78 DEBUG [main] ants.GebiBot  - kante nach unten
78 DEBUG [main] ants.GebiBot  - kante nach rechts
78 DEBUG [main] ants.GebiBot  - kante nach unten
80 DEBUG [main] ants.GebiBot  - kante nach rechts
80 DEBUG [main] ants.GebiBot  - kante nach unten
80 DEBUG [main] ants.GebiBot  - kante nach rechts
80 DEBUG [main] ants.GebiBot  - kante nach unten
80 DEBUG [main] ants.GebiBot  - kante nach rechts
80 DEBUG [main] ants.GebiBot  - kante nach unten
80 DEBUG [main] ants.GebiBot  - kante nach rechts
80 DEBUG [main] ants.GebiBot  - kante nach unten
81 DEBUG [main] ants.GebiBot  - kante nach rechts
81 DEBUG [main] ants.GebiBot  - kante nach unten
81 DEBUG [main] ants.GebiBot  - kante nach rechts
81 DEBUG [main] ants.GebiBot  - kante nach unten
81 DEBUG [main] ants.GebiBot  - kante nach rechts
81 DEBUG [main] ants.GebiBot  - kante nach unten
82 DEBUG [main] ants.GebiBot  - kante nach rechts
82 DEBUG [main] ants.GebiBot  - kante nach unten
82 DEBUG [main] ants.GebiBot  - kante nach rechts
82 DEBUG [main] ants.GebiBot  - kante nach unten
83 DEBUG [main] ants.GebiBot  - kante nach rechts
83 DEBUG [main] ants.GebiBot  - kante nach unten
83 DEBUG [main] ants.GebiBot  - kante nach rechts
83 DEBUG [main] ants.GebiBot  - kante nach unten
83 DEBUG [main] ants.GebiBot  - kante nach rechts
83 DEBUG [main] ants.GebiBot  - kante nach unten
83 DEBUG [main] ants.GebiBot  - kante nach rechts
83 DEBUG [main] ants.GebiBot  - kante nach unten
84 DEBUG [main] ants.GebiBot  - kante nach rechts
84 DEBUG [main] ants.GebiBot  - kante nach unten
84 DEBUG [main] ants.GebiBot  - kante nach rechts
84 DEBUG [main] ants.GebiBot  - kante nach unten
84 DEBUG [main] ants.GebiBot  - kante nach rechts
84 DEBUG [main] ants.GebiBot  - kante nach unten
84 DEBUG [main] ants.GebiBot  - kante nach rechts
84 DEBUG [main] ants.GebiBot  - kante nach unten
85 DEBUG [main] ants.GebiBot  - kante nach rechts
85 DEBUG [main] ants.GebiBot  - kante nach unten
85 DEBUG [main] ants.GebiBot  - kante nach rechts
85 DEBUG [main] ants.GebiBot  - kante nach unten
85 DEBUG [main] ants.GebiBot  - kante nach rechts
85 DEBUG [main] ants.GebiBot  - kante nach unten
85 DEBUG [main] ants.GebiBot  - kante nach rechts
85 DEBUG [main] ants.GebiBot  - kante nach unten
85 DEBUG [main] ants.GebiBot  - kante nach rechts
86 DEBUG [main] ants.GebiBot  - kante nach unten
86 DEBUG [main] ants.GebiBot  - kante nach rechts
86 DEBUG [main] ants.GebiBot  - kante nach unten
86 DEBUG [main] ants.GebiBot  - kante nach rechts
86 DEBUG [main] ants.GebiBot  - kante nach unten
86 DEBUG [main] ants.GebiBot  - kante nach rechts
86 DEBUG [main] ants.GebiBot  - kante nach unten
86 DEBUG [main] ants.GebiBot  - kante nach rechts
87 DEBUG [main] ants.GebiBot  - kante nach unten
87 DEBUG [main] ants.GebiBot  - kante nach rechts
87 DEBUG [main] ants.GebiBot  - kante nach unten
87 DEBUG [main] ants.GebiBot  - kante nach rechts
87 DEBUG [main] ants.GebiBot  - kante nach unten
87 DEBUG [main] ants.GebiBot  - kante nach rechts
87 DEBUG [main] ants.GebiBot  - kante nach unten
87 DEBUG [main] ants.GebiBot  - kante nach rechts
87 DEBUG [main] ants.GebiBot  - kante nach unten
87 DEBUG [main] ants.GebiBot  - kante nach rechts
88 DEBUG [main] ants.GebiBot  - kante nach unten
88 DEBUG [main] ants.GebiBot  - kante nach rechts
88 DEBUG [main] ants.GebiBot  - kante nach unten
88 DEBUG [main] ants.GebiBot  - kante nach rechts
88 DEBUG [main] ants.GebiBot  - kante nach unten
88 DEBUG [main] ants.GebiBot  - kante nach rechts
88 DEBUG [main] ants.GebiBot  - kante nach unten
88 DEBUG [main] ants.GebiBot  - kante nach rechts
88 DEBUG [main] ants.GebiBot  - kante nach unten
88 DEBUG [main] ants.GebiBot  - kante nach rechts
89 DEBUG [main] ants.GebiBot  - kante nach unten
89 DEBUG [main] ants.GebiBot  - kante nach rechts
89 DEBUG [main] ants.GebiBot  - kante nach unten
89 DEBUG [main] ants.GebiBot  - kante nach unten
89 DEBUG [main] ants.GebiBot  - kante nach rechts
89 DEBUG [main] ants.GebiBot  - kante nach unten
89 DEBUG [main] ants.GebiBot  - kante nach rechts
89 DEBUG [main] ants.GebiBot  - kante nach unten
89 DEBUG [main] ants.GebiBot  - kante nach rechts
89 DEBUG [main] ants.GebiBot  - kante nach unten
89 DEBUG [main] ants.GebiBot  - kante nach rechts
90 DEBUG [main] ants.GebiBot  - kante nach unten
90 DEBUG [main] ants.GebiBot  - kante nach rechts
90 DEBUG [main] ants.GebiBot  - kante nach unten
90 DEBUG [main] ants.GebiBot  - kante nach rechts
90 DEBUG [main] ants.GebiBot  - kante nach unten
90 DEBUG [main] ants.GebiBot  - kante nach rechts
91 DEBUG [main] ants.GebiBot  - kante nach unten
91 DEBUG [main] ants.GebiBot  - kante nach rechts
91 DEBUG [main] ants.GebiBot  - kante nach unten
91 DEBUG [main] ants.GebiBot  - kante nach rechts
91 DEBUG [main] ants.GebiBot  - kante nach unten
91 DEBUG [main] ants.GebiBot  - kante nach rechts
91 DEBUG [main] ants.GebiBot  - kante nach unten
91 DEBUG [main] ants.GebiBot  - kante nach rechts
92 DEBUG [main] ants.GebiBot  - kante nach unten
92 DEBUG [main] ants.GebiBot  - kante nach rechts
92 DEBUG [main] ants.GebiBot  - kante nach unten
92 DEBUG [main] ants.GebiBot  - kante nach rechts
92 DEBUG [main] ants.GebiBot  - kante nach unten
92 DEBUG [main] ants.GebiBot  - kante nach rechts
93 DEBUG [main] ants.GebiBot  - kante nach unten
93 DEBUG [main] ants.GebiBot  - kante nach rechts
93 DEBUG [main] ants.GebiBot  - kante nach unten
93 DEBUG [main] ants.GebiBot  - kante nach rechts
93 DEBUG [main] ants.GebiBot  - kante nach unten
93 DEBUG [main] ants.GebiBot  - kante nach rechts
93 DEBUG [main] ants.GebiBot  - kante nach unten
94 DEBUG [main] ants.GebiBot  - kante nach rechts
94 DEBUG [main] ants.GebiBot  - kante nach unten
94 DEBUG [main] ants.GebiBot  - kante nach rechts
94 DEBUG [main] ants.GebiBot  - kante nach unten
94 DEBUG [main] ants.GebiBot  - kante nach rechts
94 DEBUG [main] ants.GebiBot  - kante nach unten
95 DEBUG [main] ants.GebiBot  - kante nach rechts
95 DEBUG [main] ants.GebiBot  - kante nach unten
95 DEBUG [main] ants.GebiBot  - kante nach rechts
95 DEBUG [main] ants.GebiBot  - kante nach unten
95 DEBUG [main] ants.GebiBot  - kante nach rechts
95 DEBUG [main] ants.GebiBot  - kante nach unten
96 DEBUG [main] ants.GebiBot  - kante nach rechts
96 DEBUG [main] ants.GebiBot  - kante nach unten
96 DEBUG [main] ants.GebiBot  - kante nach rechts
96 DEBUG [main] ants.GebiBot  - kante nach unten
96 DEBUG [main] ants.GebiBot  - kante nach rechts
96 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
97 DEBUG [main] ants.GebiBot  - kante nach rechts
97 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
98 DEBUG [main] ants.GebiBot  - kante nach unten
98 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
99 DEBUG [main] ants.GebiBot  - kante nach unten
99 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
100 DEBUG [main] ants.GebiBot  - kante nach unten
100 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
101 DEBUG [main] ants.GebiBot  - kante nach rechts
101 DEBUG [main] ants.GebiBot  - kante nach unten
102 DEBUG [main] ants.GebiBot  - kante nach rechts
102 DEBUG [main] ants.GebiBot  - kante nach unten
102 DEBUG [main] ants.GebiBot  - kante nach rechts
102 DEBUG [main] ants.GebiBot  - kante nach unten
102 DEBUG [main] ants.GebiBot  - kante nach rechts
102 DEBUG [main] ants.GebiBot  - kante nach unten
102 DEBUG [main] ants.GebiBot  - kante nach rechts
102 DEBUG [main] ants.GebiBot  - kante nach unten
103 DEBUG [main] ants.GebiBot  - kante nach rechts
103 DEBUG [main] ants.GebiBot  - kante nach unten
103 DEBUG [main] ants.GebiBot  - kante nach rechts
103 DEBUG [main] ants.GebiBot  - kante nach unten
103 DEBUG [main] ants.GebiBot  - kante nach rechts
103 DEBUG [main] ants.GebiBot  - kante nach unten
